State,Status of Abortion,Notes,2024 state constitutional amendment protecting abortion beyond current law
New Mexico,No gestational limits,"State has no gestational limits. <br><br>
No&nbsp;state law expressly protecting or banning abortion",
New York,Gestational limit at or near viability,"Current gestational limit is fetal viability <br><br>
State law protects the right to abortion",
North Carolina,Gestational limit between 6 and 12 weeks LMP,"The State's 12-week LMP ban in effect as of July 1, 2023",
North Dakota,Gestational limit at or near viability,"Current gestational limit is fetal viability <br><br>
On September 12, 2024, the South Central District Court ruled that the State's abortion ban was unconstitutional. On September 26, 2024 the court issued the order blocking the abortion ban from being enforced.",
Ohio,Gestational limit between 15 and 22 weeks LMP,"Current gestational limit is 22 weeks LMP. The state has a 6-week LMP ban in its books that was blocked by a judge.<br><br>State constitution protects the right to abortion. On November 7, 2023, voters passed a ballot measure amending the Ohio constitution to protect the right to abortion.",
Oklahoma,Abortion banned,"Trigger law went into effect June 24, 2022. <br>

SB 612, signed by the governor on April 12, 2022, went into effect August 25, 2022. The law increases criminal penalties associated with abortion. ",
Oregon,No gestational limits,"State has no gestational limits. <br><br>
State law protects the right to abortion",
Pennsylvania,Gestational limit at or near viability,Current gestational limit is 24 weeks LMP,
Rhode Island,Gestational limit at or near viability,"Current gestational limit is fetal viability <br><br> 
State law protects the right to abortion",
South Carolina,Gestational limit between 6 and 12 weeks LMP,"The state's 6-week LMP ban is back in effect as of August 23, 2023. On 5/26/23 a judge had granted a stay blocking the enforcement of the State's 6-week LMP ban. This order was reversed on 8/23/23.<br>

In January 2023, in a 3-2 ruling the South Carolina Supreme Court struck down the state's previous 6-week LMP ban as unconstitutional. In February 2023, the justice who wrote that ruling retired and was replaced by a new justice.",
South Dakota,Abortion banned,"State trigger law went into effect June 24, 2022. <br>

On November 5, 2024, South Dakotans voted on Amendment G, which would have amended the state's constitution to state that the government could only prohibit abortion after the end of the second trimester. The measure did not pass. ",
Tennessee,Abortion banned,"State trigger law in effect as of August 25, 2022, 30 days after SCOTUS judgement.",
Texas,Abortion banned,"Pre-Roe ban in effect—had previously been blocked by courts but State Supreme Court allowed it to go into effect on July 1, 2022. <br>

State trigger law went into effect on August 25, 2022, 30 days after SCOTUS judgement. The trigger law increases the criminal and civil penalties associated with abortion.",
Utah,Gestational limit between 15 and 22 weeks LMP,The state's 18 week LMP ban is in effect. State trigger ban temporarily blocked by courts. ,
Vermont,No gestational limits,"State has no gestational limits. <br><br>
State constitution protects the right to abortion. In 2022, Vermont voters approved a constitutional amendment stating the constitution protects the right to reproductive autonomy, which includes abortion.",
Virginia,Gestational limit at or near viability,"Current gestational limit is the 3rd trimester. <br><br> 
No&nbsp;state law expressly protecting or banning abortion",
Washington,Gestational limit at or near viability,"Current gestational limit is fetal viability <br><br> 
State law protects the right to abortion",
West Virginia,Abortion banned,"Abortion ban went into effect Sept. 16, 2022. 
State pre-Roe ban blocked by courts on 7/18/2022.",
Wisconsin,Gestational limit between 15 and 22 weeks LMP,"Current gestational limit is 22 weeks LMP.<br><br>After the SCOTUS decision in Dobbs, the Wisconsin Attorney General challenged the state's pre-Roe ban, arguing it was not enforceable. In July 2023, a judge ruled that the 1849 law was not an abortion ban. The Attorney General had also previously stated that he would offer clemency to anyone prosecuted under the 1849 law.<br><br>Planned Parenthood has announced it will start providing abortions in the state starting September 18, 2023.",
Wyoming,Gestational limit at or near viability,"Current gestational limit is fetal viability <br><br> 
State abortion ban not in effect--ban was in place as of March 19, 2023 but was temporarily blocked on March 22, 2023.",
